ID,Hotels,Type,Region,Rating,Popularity,Opening_Hours,Budget,Facilities
1,The Nile Ritz-Carlton,Luxury,Cairo,4.6,High,24/7,High,"Spa, Pool, Gym, Restaurant"
2,Kempinski Nile Hotel,Luxury,Cairo,4.4,High,24/7,High,"Spa, Pool, Gym, Restaurant"
3,Four Seasons Hotel Alexandria at San Stefano,Luxury,Alexandria,4.7,Medium,24/7,High,"Spa, Pool, Gym, Restaurant"
4,Helnan Palestine Hotel,Luxury,Alexandria,4.3,High,24/7,Medium,"Pool, Gym, Restaurant"
5,Sofitel Winter Palace Luxor,Luxury,Luxor,4.5,Medium,24/7,High,"Spa, Pool, Gym, Restaurant"
6,Steigenberger Nile Palace,Luxury,Luxor,4.4,High,24/7,Medium,"Spa, Pool, Gym, Restaurant"
7,Movenpick Resort Aswan,Luxury,Aswan,4.3,Medium,24/7,High,"Spa, Pool, Gym, Restaurant"
8,Pyramisa Isis Island Aswan,Luxury,Aswan,4.1,High,24/7,Medium,"Spa, Pool, Restaurant"
9,Mena House Hotel,Luxury,Giza,4.8,High,24/7,High,"Spa, Pool, Gym, Restaurant"
10,Le Méridien Pyramids Hotel & Spa,Luxury,Giza,4.5,High,24/7,High,"Spa, Pool, Gym, Restaurant"
11,Hilton Cairo Zamalek Residences,Luxury,Cairo,4.4,High,24/7,High,"Spa, Pool, Gym, Restaurant"
12,Fairmont Nile City,Luxury,Cairo,4.6,High,24/7,High,"Spa, Pool, Gym, Restaurant"
13,Conrad Cairo,Luxury,Cairo,4.5,High,24/7,High,"Spa, Pool, Gym, Restaurant"
14,JW Marriott Hotel Cairo,Luxury,Cairo,4.5,High,24/7,High,"Spa, Pool, Gym, Restaurant"
15,InterContinental Cairo Semiramis,Luxury,Cairo,4.4,High,24/7,High,"Spa, Pool, Gym, Restaurant"
16,"Marriott Mena House, Cairo",Luxury,Giza,4.7,Medium,24/7,High,"Spa, Pool, Gym, Restaurant"
17,Ramses Hilton,Luxury,Cairo,4.2,Medium,24/7,Medium,"Spa, Pool, Gym, Restaurant"
18,Sheraton Cairo Hotel & Casino,Luxury,Cairo,4.4,Medium,24/7,Medium,"Spa, Pool, Gym, Restaurant"
19,Novotel Cairo El Borg,Mid-Range,Cairo,4.1,Medium,24/7,Medium,"Pool, Gym, Restaurant"
20,Holiday Inn Cairo Maadi,Mid-Range,Cairo,4,High,24/7,Medium,"Pool, Gym, Restaurant"
21,Tolip Alexandria,Luxury,Alexandria,4.2,Medium,24/7,High,"Spa, Pool, Gym, Restaurant"
22,Hilton Alexandria Corniche,Luxury,Alexandria,4.1,Medium,24/7,Medium,"Spa, Pool, Gym, Restaurant"
23,Sheraton Montazah Hotel,Luxury,Alexandria,4,Medium,24/7,Medium,"Spa, Pool, Gym, Restaurant"
24,"Radisson Blu Hotel, Alexandria",Luxury,Alexandria,4.1,Medium,24/7,Medium,"Spa, Pool, Gym, Restaurant"
25,Helnan Royal Hotel - Palestine,Luxury,Alexandria,4.2,Medium,24/7,Medium,"Spa, Pool, Gym, Restaurant"
26,Steigenberger Cecil Hotel Alexandria,Luxury,Alexandria,4.2,Medium,24/7,Medium,"Spa, Pool, Gym, Restaurant"
